ecoregion,type,early 90s,late 10s,prop_change
AZ/NM Highlands,AFG,2.893438611085058,3.8143130460698806,0.3182629938844595
E Cold Deserts,AFG,2.924690511031528,4.2211327623338075,0.443275022233046
Forested Mts,AFG,3.8010071886862598,5.688008568163979,0.4964477270904406
Mediterranean California,AFG,31.677483303618622,44.879247903519605,0.4167554749651751
N Great Plains,AFG,5.407384607542616,11.468515628861876,1.1208988191564462
S Great Plains,AFG,3.1447459049699913,6.051413958666805,0.9242934537582458
W Cold Deserts,AFG,6.180720855083276,16.6480266076202,1.693541254808197
Warm Deserts,AFG,3.63185091734036,4.421319014753729,0.21737348679265292
AZ/NM Highlands,BGR,14.574212706985357,13.913049919965914,-0.045365248903122574
E Cold Deserts,BGR,23.954085099367212,19.93727333453739,-0.16768796421016022
Forested Mts,BGR,8.860666224834718,7.251817877893758,-0.18157193896229523
Mediterranean California,BGR,7.019819163419768,6.1250128773050365,-0.12746856653766261
N Great Plains,BGR,13.165215703204478,8.347195622623033,-0.36596590509403615
S Great Plains,BGR,20.36303122738137,19.773043294847326,-0.028973482677800443
W Cold Deserts,BGR,18.735778870390035,11.389855565094074,-0.3920799533402604
Warm Deserts,BGR,26.312991556469616,28.03586290123362,0.06547607257299486
AZ/NM Highlands,LTR,11.237346288044172,12.415293583383882,0.10482432997485992
E Cold Deserts,LTR,10.934371248170386,12.575924103942215,0.1501277776759688
Forested Mts,LTR,11.082934841243036,12.02947389033574,0.08540509013644466
Mediterranean California,LTR,12.416858453224922,9.752889960823039,-0.21454448421371786
N Great Plains,LTR,6.942745043124367,8.964054816968936,0.2911398533705829
S Great Plains,LTR,10.69718301964192,14.274661752613635,0.334431852423468
W Cold Deserts,LTR,12.629406631620965,11.880102714365592,-0.05933009674257367
Warm Deserts,LTR,10.5096394492203,11.34689642985862,0.07966562360999321
AZ/NM Highlands,PFG,21.77806976542648,19.121835070514223,-0.12196832517862219
E Cold Deserts,PFG,23.376120086692726,21.386893137653196,-0.08509654047216898
Forested Mts,PFG,34.398824316618914,29.266366590110373,-0.14920445185183046
Mediterranean California,PFG,12.5274620289546,3.5469359431652023,-0.7168671567339654
N Great Plains,PFG,57.576096004926995,51.90506309971129,-0.09849630834175371
S Great Plains,PFG,46.10800749207909,34.19440453539396,-0.25838468423802036
W Cold Deserts,PFG,26.466136762552637,24.443485210209285,-0.07642413286419775
Warm Deserts,PFG,17.884741348422715,8.641580419538878,-0.51681826137782
AZ/NM Highlands,SHR,15.824689638941592,16.290343234989688,0.02942576484420963
E Cold Deserts,SHR,14.404000169043464,14.030123061967121,-0.025956477554052334
Forested Mts,SHR,13.39937007332924,13.094677479349386,-0.022739322245180004
Mediterranean California,SHR,10.703695130906784,11.999093899342832,0.12102351128215529
N Great Plains,SHR,6.857207586335302,7.44397234861108,0.08556905342125756
S Great Plains,SHR,8.033607894519463,10.358311449067218,0.28937229512205476
W Cold Deserts,SHR,16.406929092258466,14.171119253799283,-0.13627229238859448
Warm Deserts,SHR,13.017825674288993,14.257634169809876,0.09523929160993307
AZ/NM Highlands,TRE,6.450660277650856,6.00766428507631,-0.0686745191200601
E Cold Deserts,TRE,4.780326001517302,7.849911058229592,0.6421288120805958
Forested Mts,TRE,9.738087215649903,14.868865918211494,0.5268774646335072
Mediterranean California,TRE,8.936631436885733,8.88335608239703,-0.005961458169664447
N Great Plains,TRE,1.8142205571520966,3.4849124048421896,0.9208868464773047
S Great Plains,TRE,4.564871195730043,6.430411016988212,0.4086730471175584
W Cold Deserts,TRE,3.3219916992050167,5.319634742660435,0.6013389629882196
Warm Deserts,TRE,2.8302149466817843,2.4707823185661306,-0.12699834990874512
