type,unit,ecoregion,Office,office_label,ecoregion_trend,office_trend,full_office_trend
AFG,cover,AZ/NM Highlands,CARLSBAD FIELD OFFICE,AZ/NM Highlands:CARLSBAD FIELD OFFICE,0.0071071254397029,0.00445404408834332,0.011561169528046221
AFG,cover,AZ/NM Highlands,HASSAYAMPA FIELD OFFICE,AZ/NM Highlands:HASSAYAMPA FIELD OFFICE,0.0071071254397029,0.00411367665243324,0.011220802092136141
AFG,cover,AZ/NM Highlands,KINGMAN FIELD OFFICE,AZ/NM Highlands:KINGMAN FIELD OFFICE,0.0071071254397029,4.067610258154902e-4,0.00751388646551839
AFG,cover,AZ/NM Highlands,LAS CRUCES DISTRICT FIELD OFFICE,AZ/NM Highlands:LAS CRUCES DISTRICT FIELD OFFICE,0.0071071254397029,0.00474591439016834,0.01185303982987124
AFG,cover,AZ/NM Highlands,LOWER SONORAN FIELD OFFICE,AZ/NM Highlands:LOWER SONORAN FIELD OFFICE,0.0071071254397029,0.00229147859450044,0.00939860403420334
AFG,cover,AZ/NM Highlands,RIO PUERCO FIELD OFFICE,AZ/NM Highlands:RIO PUERCO FIELD OFFICE,0.0071071254397029,-0.00326120902970541,0.0038459164099974895
AFG,cover,AZ/NM Highlands,ROSWELL FIELD OFFICE,AZ/NM Highlands:ROSWELL FIELD OFFICE,0.0071071254397029,-0.01714320510064274,-0.01003607966093984
AFG,cover,AZ/NM Highlands,SAFFORD FIELD OFFICE,AZ/NM Highlands:SAFFORD FIELD OFFICE,0.0071071254397029,0.00495596513357107,0.012063090573273968
AFG,cover,AZ/NM Highlands,SOCORRO FIELD OFFICE,AZ/NM Highlands:SOCORRO FIELD OFFICE,0.0071071254397029,-0.00107719261489868,0.00602993282480422
AFG,cover,AZ/NM Highlands,TUCSON FIELD OFFICE,AZ/NM Highlands:TUCSON FIELD OFFICE,0.0071071254397029,5.137669261503013e-4,0.007620892365853201
AFG,cover,E Cold Deserts, GEORGE FIELD OFFICE,E Cold Deserts:ST. GEORGE FIELD OFFICE,0.0117492769094608,-0.00266503895934058,0.00908423795012022
AFG,cover,E Cold Deserts,ARIZONA STRIP FIELD OFFICE,E Cold Deserts:ARIZONA STRIP FIELD OFFICE,0.0117492769094608,-0.00310120960595649,0.008648067303504309
AFG,cover,E Cold Deserts,BILLINGS FIELD OFFICE,E Cold Deserts:BILLINGS FIELD OFFICE,0.0117492769094608,0.01656329837205323,0.028312575281514027
AFG,cover,E Cold Deserts,BUFFALO FIELD OFFICE,E Cold Deserts:BUFFALO FIELD OFFICE,0.0117492769094608,-0.00624471865362751,0.005504558255833289
AFG,cover,E Cold Deserts,CASPER FIELD OFFICE,E Cold Deserts:CASPER FIELD OFFICE,0.0117492769094608,0.01251402863308679,0.02426330554254759
AFG,cover,E Cold Deserts,CODY FIELD OFFICE,E Cold Deserts:CODY FIELD OFFICE,0.0117492769094608,0.01428236767714553,0.02603164458660633
AFG,cover,E Cold Deserts,COLORADO RIVER VALLEY FIELD OFFICE,E Cold Deserts:COLORADO RIVER VALLEY FIELD OFFICE,0.0117492769094608,-0.00475880727542469,0.006990469634036109
AFG,cover,E Cold Deserts,FARMINGTON FIELD OFFICE,E Cold Deserts:FARMINGTON FIELD OFFICE,0.0117492769094608,-0.01259532841345144,-8.460515039906396e-4
AFG,cover,E Cold Deserts,GRAND CANYON-PARASHANT NM FIELD OFFICE,E Cold Deserts:GRAND CANYON-PARASHANT NM FIELD OFFICE,0.0117492769094608,0.00113152478396033,0.01288080169342113
AFG,cover,E Cold Deserts,GRAND JUNCTION FIELD OFFICE,E Cold Deserts:GRAND JUNCTION FIELD OFFICE,0.0117492769094608,-5.486366791713999e-4,0.0112006402302894
AFG,cover,E Cold Deserts,GUNNISON FIELD OFFICE,E Cold Deserts:GUNNISON FIELD OFFICE,0.0117492769094608,-0.00264899680773818,0.009100280101722619
AFG,cover,E Cold Deserts,HASSAYAMPA FIELD OFFICE,E Cold Deserts:HASSAYAMPA FIELD OFFICE,0.0117492769094608,-0.00572145047653029,0.006027826432930509
AFG,cover,E Cold Deserts,KANAB FIELD OFFICE,E Cold Deserts:KANAB FIELD OFFICE,0.0117492769094608,-0.01242581486816623,-6.765379587054306e-4
