decade,ecoregion,tree_bins,n,frac
1990s,AZ/NM Highlands,0-1,8,0.014234875444839857
2000s,AZ/NM Highlands,0-1,30,0.05338078291814947
2010s,AZ/NM Highlands,0-1,5,0.008896797153024912
1980s,AZ/NM Highlands,1-2,12,0.021352313167259787
1990s,AZ/NM Highlands,1-2,55,0.09786476868327403
2000s,AZ/NM Highlands,1-2,98,0.17437722419928825
2010s,AZ/NM Highlands,1-2,54,0.09608540925266904
1980s,AZ/NM Highlands,2-5,198,0.35231316725978645
1990s,AZ/NM Highlands,2-5,198,0.35231316725978645
2000s,AZ/NM Highlands,2-5,213,0.3790035587188612
2010s,AZ/NM Highlands,2-5,218,0.3879003558718861
1980s,AZ/NM Highlands,5-10,181,0.3220640569395018
1990s,AZ/NM Highlands,5-10,182,0.3238434163701068
2000s,AZ/NM Highlands,5-10,140,0.2491103202846975
2010s,AZ/NM Highlands,5-10,179,0.3185053380782918
1980s,AZ/NM Highlands,10-20,150,0.2669039145907473
1990s,AZ/NM Highlands,10-20,101,0.1797153024911032
2000s,AZ/NM Highlands,10-20,69,0.12277580071174377
2010s,AZ/NM Highlands,10-20,89,0.1583629893238434
1980s,AZ/NM Highlands,>20,21,0.037366548042704624
1990s,AZ/NM Highlands,>20,18,0.03202846975088968
2000s,AZ/NM Highlands,>20,12,0.021352313167259787
2010s,AZ/NM Highlands,>20,17,0.030249110320284697
1980s,E Cold Deserts,0-1,1848,0.40402273721031917
1990s,E Cold Deserts,0-1,1950,0.42632269348491475
2000s,E Cold Deserts,0-1,2086,0.4560559685177088
2010s,E Cold Deserts,0-1,1656,0.3620463489287276
1980s,E Cold Deserts,1-2,560,0.12243113248797552
1990s,E Cold Deserts,1-2,530,0.11587232181897683
2000s,E Cold Deserts,1-2,464,0.10144293834717971
2010s,E Cold Deserts,1-2,508,0.11106252732837779
1980s,E Cold Deserts,2-5,744,0.16265850459116746
1990s,E Cold Deserts,2-5,620,0.1355487538259729
2000s,E Cold Deserts,2-5,606,0.1324879755137735
2010s,E Cold Deserts,2-5,697,0.15238303454306953
1980s,E Cold Deserts,5-10,589,0.12877131613467424
1990s,E Cold Deserts,5-10,566,0.12374289462177525
2000s,E Cold Deserts,5-10,554,0.12111937035417578
2010s,E Cold Deserts,5-10,551,0.1204634892872759
1980s,E Cold Deserts,10-20,602,0.13161346742457367
1990s,E Cold Deserts,10-20,601,0.13139484040227373
2000s,E Cold Deserts,10-20,597,0.1305203323130739
2010s,E Cold Deserts,10-20,727,0.15894184521206822
1980s,E Cold Deserts,>20,230,0.050284215128989944
1990s,E Cold Deserts,>20,307,0.06711849584608658
2000s,E Cold Deserts,>20,266,0.05815478793178837
2010s,E Cold Deserts,>20,435,0.09510275470048098
1980s,E Cold Deserts,NA,1,2.1862702229995628e-4
2000s,E Cold Deserts,NA,1,2.1862702229995628e-4
1980s,Forested Mts,0-1,863,0.16968147856861973
1990s,Forested Mts,0-1,920,0.18088871411718443
2000s,Forested Mts,0-1,948,0.18639402280770742
2010s,Forested Mts,0-1,784,0.15414864333464412
1980s,Forested Mts,1-2,421,0.08277624852536375
1990s,Forested Mts,1-2,367,0.0721588674793551
2000s,Forested Mts,1-2,348,0.0684231222965002
2010s,Forested Mts,1-2,338,0.06645694062131341
1980s,Forested Mts,2-5,770,0.1513959889893826
1990s,Forested Mts,2-5,670,0.13173417223751474
2000s,Forested Mts,2-5,629,0.12367282736924892
2010s,Forested Mts,2-5,569,0.1118757373181282
1980s,Forested Mts,5-10,801,0.15749115218246165
1990s,Forested Mts,5-10,761,0.1496264254817145
2000s,Forested Mts,5-10,705,0.1386158081006685
2010s,Forested Mts,5-10,730,0.14353126228863547
1980s,Forested Mts,10-20,1092,0.21470703893039716
1990s,Forested Mts,10-20,1055,0.20743216673220605
2000s,Forested Mts,10-20,1068,0.20998820290994888
2010s,Forested Mts,10-20,1045,0.20546598505701927
1980s,Forested Mts,>20,1139,0.22394809280377506
1990s,Forested Mts,>20,1313,0.25815965395202517
2000s,Forested Mts,>20,1386,0.2725127801808887
2010s,Forested Mts,>20,1620,0.3185214313802595
2000s,Forested Mts,NA,2,3.9323633503735744e-4
1980s,Marine West Coast Forest,5-10,1,0.1
1990s,Marine West Coast Forest,5-10,1,0.1
1980s,Marine West Coast Forest,10-20,3,0.3
1990s,Marine West Coast Forest,10-20,2,0.2
2000s,Marine West Coast Forest,10-20,3,0.3
2010s,Marine West Coast Forest,10-20,2,0.2
1980s,Marine West Coast Forest,>20,6,0.6
1990s,Marine West Coast Forest,>20,7,0.7
2000s,Marine West Coast Forest,>20,7,0.7
2010s,Marine West Coast Forest,>20,8,0.8
1980s,Mediterranean California,0-1,64,0.27586206896551724
1990s,Mediterranean California,0-1,22,0.09482758620689655
2000s,Mediterranean California,0-1,58,0.25
2010s,Mediterranean California,0-1,47,0.2025862068965517
1980s,Mediterranean California,1-2,20,0.08620689655172414
1990s,Mediterranean California,1-2,48,0.20689655172413793
2000s,Mediterranean California,1-2,20,0.08620689655172414
2010s,Mediterranean California,1-2,28,0.1206896551724138
1980s,Mediterranean California,2-5,34,0.14655172413793102
1990s,Mediterranean California,2-5,35,0.15086206896551724
2000s,Mediterranean California,2-5,33,0.14224137931034483
2010s,Mediterranean California,2-5,38,0.16379310344827586
